id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5120550417205814,P8CBPueyO,6059492811,拆台CT,昨天西藏地震等相关词条直接霸榜热搜。（图2还搁这完“我没看到就是没上过热搜”啊？#西藏地震407名被困人员获救##西藏定日县地震已致126人遇难#,,,,"西藏地震407名被困人员获救,西藏定日县地震已致126人遇难",6,17,85,2025-01-08 14:30,微博网页版,"https://wx3.sinaimg.cn/large/006C50T1ly1hxdc2smrvtj30j60o8qb4.jpg,https://wx1.sinaimg.cn/large/006C50T1ly1hxdc6bktiwj30xcaime81.jpg",,,北京,金V
5120555672145825,P8CKj90e5,2140565862,内娱乐子人g,丁禹兮为西藏地震捐50万…虽然金额时间都打码了，但是基金会发文了…,,,,,19,182,1974,2025-01-08 14:51,,"https://wx3.sinaimg.cn/large/7f967166gy1hxdcrd8tzxj20u01l60yn.jpg,https://wx2.sinaimg.cn/large/7f967166gy1hxdcrdnd22j20xc21cag2.jpg",,,江苏,红V
5120542799563154,P8CpxE7Oq,3549916270,中国消防,【#废墟救援千里眼探出生命希望#】西藏地震发生后，消防救援力量第一时间赶赴，争分夺秒搜救被困群众。#西藏地震407名被困人员获救#执行任务时，高科技救援装备也持续发挥作用，助力救援工作有序开展。其中，雷达生命探测仪，探测定位精度可达厘米级。L中国消防的微博视频,,,,"废墟救援千里眼探出生命希望,西藏地震407名被困人员获救",70,27,50,2025-01-08 14:00,微博视频号,,"http://f.video.weibocdn.com/o0/buik5a0hlx08kZw9XYLm01041200mPH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594088&ssig=PRBoG63duL&KID=unistore,video",,,蓝V
5120533655458543,P8CaNmU11,2756869861,饭圈小表妹,#虞书欣捐款驰援西藏##虞书欣捐赠驰援西藏#虞书欣捐款驰援西藏灾区！我们和善良的欣欣子一起：愿受灾地区同胞早日渡过难关，我们与你同在！祝平安！#西藏地震#,,,,"虞书欣捐款驰援西藏,虞书欣捐赠驰援西藏,西藏地震",244,446,8054,2025-01-08 13:23,虞书欣超话,"https://wx3.sinaimg.cn/large/a4527ee5ly1hxdaa2mfq0j20u80g1q54.jpg,https://wx3.sinaimg.cn/large/a4527ee5ly1hxdcmbiu18j20zd0fuwgu.jpg,https://wx4.sinaimg.cn/large/a4527ee5ly1hxdcmb5i66j20u00ulaep.jpg,https://wx3.sinaimg.cn/large/a4527ee5ly1hxdaa2e63vj20u013zacy.jpg,https://wx3.sinaimg.cn/large/a4527ee5ly1hxdcmdk8lfj20u0140jv7.jpg,https://wx4.sinaimg.cn/large/a4527ee5ly1hxdcmbzzq3j20u01900xb.jpg,https://wx2.sinaimg.cn/large/a4527ee5ly1hxdcmclxrcj20u018zq8j.jpg,https://wx3.sinaimg.cn/large/a4527ee5ly1hxdcmd2lfzj20u018zwjm.jpg,https://wx4.sinaimg.cn/large/a4527ee5ly1hxdcme28llj20u018z793.jpg",,,山西,红V
5120529064004492,P8C3ogNKA,7920826826,黄子弘凡官方后援会,#西藏城市服务台##直击西藏地震救援##红石驰援西藏地震#我为【红石驰援西藏地震】发起了一起捐@微公益，诚邀各位蟹黄堡加入线上支援，共同帮助西藏人民渡过难关！公益无大小，快来和我一起为项目助力！红石驰援西藏地震,,,微公益,"西藏城市服务台,直击西藏地震救援,红石驰援西藏地震",81,320,1640,2025-01-08 13:05,,,,,江苏,蓝V
5120527867838982,P8C1swThc,1699432410,新华社,【直播：定日县6.8级地震#震中安置点首日见闻#】西藏日喀则市定日县6.8级地震发生后，各方救援力量迅速集结。目前，首批中央救灾物资已运抵西藏地震灾区，因地震损坏路段已全部抢通，现场抢险救援有序展开，正全力做好受灾群众临时安置和生活保障工作。请看记者从长所乡古荣村安置点发回的现场报道。#西藏定日县地震已致126人遇难#L新华社的微博视频,,,,"震中安置点首日见闻,西藏定日县地震已致126人遇难",33,38,223,2025-01-08 13:00,微博直播平台,,"http://live.video.weibocdn.com/5120527591539019_wb720avc_index.m3u8?ori=0&ps=1BVp4ysnknHVZu&Expires=1736594103&ssig=%2B5u1M5LwpW&KID=unistore,video",,,普通用户
5120541400760413,P8Cni3bOJ,6244553417,今日俄罗斯RT,【#中国西藏地震407名被困人员获救#已有126人遇难】1月8日，据《人民日报》报道，7日9时5分，中国西藏日喀则市定日县措果乡附近发生6.8级地震，震源深度10千米。截至8日10时，地震已造成126人遇难，188人不同程度受伤。截至8日中午，中国政府统筹调集部队、公安、武警、消防、森林消防、边境管理以及党员干部群众共14668人参与抗震救灾工作，共搜救出被困人员407人。#西藏地震407名被困人员获救##西藏定日县地震已致126人遇难#L今日俄罗斯RT的微博视频,,,,"中国西藏地震407名被困人员获救,西藏地震407名被困人员获救,西藏定日县地震已致126人遇难",6,1,52,2025-01-08 13:54,微博视频号,,"http://f.video.weibocdn.com/o0/wgswyoSxlx08kZIJER8c01041200d8bt0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594103&ssig=4Po1En%2FCoM&KID=unistore,video",,,蓝V
5120540073529085,P8Cl9eO4J,5307012945,-四分三十三秒-,#西藏地震407名被困人员获救#一方有难，八方支援。L-四分三十三秒-的微博视频,,,,西藏地震407名被困人员获救,3,2,63,2025-01-08 13:49,微博视频号,,"http://f.video.weibocdn.com/o0/IqPRcwC8lx08kZInfqnm01041200lwL00E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594103&ssig=yPEqbJjzqd&KID=unistore,video",,山东,金V
5120536982328362,P8Cga9LIe,1590753120,中国反邪教,最冷的夜，我来为你守护！#灾区中的藏蓝之光#（西藏边检总站）#西藏地震407名被困人员获救#L中国反邪教的微博视频,,,,"灾区中的藏蓝之光,西藏地震407名被困人员获救",45,7,65,2025-01-08 13:36,无邪君的Android,,"http://f.video.weibocdn.com/o0/IhePQlkPlx08kZHwYmlW01041200eC1B0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594103&ssig=qVAkpvyqCE&KID=unistore,video",,,蓝V
5120534834319425,P8CcHi7G9,1830153003,陌上清浅-,#西藏地震407名被困人员获救#在紧张而有序的救援行动中，407名幸存者被一一从废墟中奇迹般地带回光明世界。L陌上清浅-的微博视频,,,,西藏地震407名被困人员获救,4,62,63,2025-01-08 13:28,快乐星球永久居民,,"http://f.video.weibocdn.com/o0/5byZ5xhelx08kZGWCE9a010412008Bc20E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1736594103&ssig=TkPgD0oDs6&KID=unistore,video",,北京,红V
